idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,0.25,0.43067655807339306,100.0,5.0,4.0,4.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,0.5,0.6309297535714575,100.0,5.0,5.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.6666666666666666,0.6557356160332092,66.66666666666666,5.0,5.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
3,What systematic review framework does the paper's methodolog,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
4,How many studies make up the final corpus of the survey?,numerical,1.0,0.9309551409988481,100.0,5.0,5.0,4.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
5,How many records were identified through database searching ,numerical,0.5,0.5,50.0,5.0,4.0,4.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
6,How many records remained after duplicates were removed?,numerical,0.5,0.5,50.0,5.0,5.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
7,How many studies were excluded during title and abstract scr,numerical,0.6666666666666666,0.7787623089616597,100.0,5.0,5.0,4.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
8,How many articles were confirmed eligible after full-text as,numerical,0.6666666666666666,0.6105182098612075,66.66666666666666,5.0,5.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1.0,0.8948755467301129,100.0,5.0,3.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
10,How many elements make up the tuple that formally defines a ,numerical,1.0,1.0,100.0,5.0,5.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
11,"In what year did the Transformer architecture emerge, accord",temporal,1.0,1.0,100.0,5.0,4.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
12,What time period does the paper assign to the Agentic AI Era,temporal,0.5,0.5,50.0,1.0,1.0,2.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
13,What publication date range did the review's inclusion crite,temporal,1.0,1.0,100.0,5.0,3.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
14,What five historical eras of AI does the paper's timeline ch,temporal,0.16666666666666666,0.2261859507142915,40.0,2.0,2.0,3.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
15,How does the paper distinguish an AI Agent from Agentic AI a,spanning,0.48148148148148145,0.6003433318879937,100.0,5.0,5.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
16,How do coordination mechanisms differ between the symbolic a,spanning,0.0625,0.11032685233915966,25.0,5.0,5.0,4.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
17,How does the paper connect the choice of architectural parad,spanning,0.5625,0.5531536677212947,75.0,5.0,5.0,4.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
18,How does the paper contrast MDPs and POMDPs?,comparative,0.5833333333333334,0.6718214076894172,100.0,5.0,5.0,4.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
19,How does transparency and explainability differ between the ,comparative,0.25,0.43067655807339306,100.0,5.0,5.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
20,How does the paper compare the flexibility and verifiability,comparative,0.08125,0.1755794210050676,50.0,5.0,5.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
21,What are the two cognitive architectures the paper identifie,direct_fact,1.0,0.8503449055347546,100.0,5.0,5.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
22,"What primary mechanism does CrewAI use, and where is it appl",relationship,0.7777777777777778,0.7752487415609566,100.0,5.0,5.0,4.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
23,Which framework is associated with Retrieval-Augmented Gener,relationship,0.25,0.2901396054259062,50.0,5.0,5.0,4.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
24,What real-world hybrid example does the paper give for robot,relationship,0.5,0.6309297535714575,100.0,5.0,5.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
25,What company's product is given as the example of neural/orc,direct_fact,0.2,0.38685280723454163,100.0,5.0,4.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
26,What system is cited as the example of the symbolic/determin,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
27,What two benchmarks does the paper mention for evaluating ag,direct_fact,0.5,0.5802792108518124,100.0,5.0,3.0,5.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
28,What are the three levels of agency proposed in the paper's ,holistic,1.0,1.0,100.0,2.0,2.0,3.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
29,What is the central argument the paper makes about the futur,holistic,0.15,0.3272184971344227,66.66666666666666,5.0,4.0,4.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
30,"What does the paper describe as the 'attribution gap,' and w",relationship,1.0,0.9381489038467702,100.0,5.0,5.0,4.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
31,How do the paper's identified research gaps in Long-term Aut,comparative,0.0,0.0,0.0,3.0,2.0,3.0,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_20-47-56
