idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,1.0,1.0,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=100",2026-07-11_20-25-18
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=100",2026-07-11_20-25-18
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.6666666666666666,0.6571659081548155,66.66666666666666,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=100",2026-07-11_20-25-18
3,What systematic review framework does the paper's methodolog,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=100",2026-07-11_20-25-18
4,How many studies make up the final corpus of the survey?,numerical,1.0,0.8334257559480375,100.0,5.0,4.0,3.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=100",2026-07-11_20-25-18
5,How many records were identified through database searching ,numerical,0.25,0.3254604649035663,50.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=100",2026-07-11_20-25-18
6,How many records remained after duplicates were removed?,numerical,0.5,0.41577731479181124,50.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=100",2026-07-11_20-25-18
7,How many studies were excluded during title and abstract scr,numerical,1.0,0.9555142508694017,100.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=100",2026-07-11_20-25-18
8,How many articles were confirmed eligible after full-text as,numerical,0.7333333333333334,0.7075525314469279,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=100",2026-07-11_20-25-18
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1.0,0.9392517442079532,100.0,5.0,3.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=100",2026-07-11_20-25-18
