idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,1.0,1.0,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.6666666666666666,0.6501402087370161,66.66666666666666,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
3,What systematic review framework does the paper's methodolog,direct_fact,1.0,1.0,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
4,How many studies make up the final corpus of the survey?,numerical,1.0,0.8534061385019438,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
5,How many records were identified through database searching ,numerical,0.25,0.31546487678572877,50.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
6,How many records remained after duplicates were removed?,numerical,0.5,0.5,50.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
7,How many studies were excluded during title and abstract scr,numerical,1.0,0.932953824681014,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
8,How many articles were confirmed eligible after full-text as,numerical,0.6666666666666666,0.6021911987942431,66.66666666666666,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1.0,0.8971335409378142,100.0,5.0,3.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
10,How many elements make up the tuple that formally defines a ,numerical,1.0,1.0,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
11,"In what year did the Transformer architecture emerge, accord",temporal,1.0,1.0,100.0,5.0,4.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
12,What time period does the paper assign to the Agentic AI Era,temporal,0.625,0.6539459367057212,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
13,What publication date range did the review's inclusion crite,temporal,0.5,0.6309297535714575,100.0,5.0,3.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
14,What five historical eras of AI does the paper's timeline ch,temporal,0.06666666666666667,0.11412834379106403,20.0,4.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
15,How does the paper distinguish an AI Agent from Agentic AI a,spanning,0.8333333333333334,0.8749081797348911,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
16,How do coordination mechanisms differ between the symbolic a,spanning,0.07738095238095238,0.20241066041029798,50.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
17,How does the paper connect the choice of architectural parad,spanning,0.4236111111111111,0.5592246638995894,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
18,How does the paper contrast MDPs and POMDPs?,comparative,0.7777777777777778,0.7827146528592359,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
19,How does transparency and explainability differ between the ,comparative,0.25,0.43067655807339306,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
20,How does the paper compare the flexibility and verifiability,comparative,0.29166666666666663,0.4033189192339164,75.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
21,What are the two cognitive architectures the paper identifie,direct_fact,0.5,0.6309297535714575,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
22,"What primary mechanism does CrewAI use, and where is it appl",relationship,0.6666666666666666,0.6392183721176281,66.66666666666666,4.0,4.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
23,Which framework is associated with Retrieval-Augmented Gener,relationship,0.5,0.5,50.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_00-49-07
