idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,1.0,1.0,100.0,5.0,5.0,4.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.6666666666666666,0.6463147133608111,66.66666666666666,5.0,5.0,4.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
3,What systematic review framework does the paper's methodolog,direct_fact,0.3333333333333333,0.48381288316677695,100.0,5.0,5.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
4,How many studies make up the final corpus of the survey?,numerical,0.5,0.6823157223372637,100.0,5.0,4.0,3.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
5,How many records were identified through database searching ,numerical,0.5,0.43860765766902465,50.0,5.0,5.0,4.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
6,How many records remained after duplicates were removed?,numerical,0.5,0.4598603945740938,50.0,5.0,5.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
7,How many studies were excluded during title and abstract scr,numerical,1.0,0.9065128302351617,100.0,5.0,3.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
8,How many articles were confirmed eligible after full-text as,numerical,0.7083333333333334,0.6319281322272442,100.0,5.0,5.0,4.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1.0,0.9942973606522293,100.0,5.0,3.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
10,How many elements make up the tuple that formally defines a ,numerical,1.0,1.0,100.0,5.0,5.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
11,"In what year did the Transformer architecture emerge, accord",temporal,1.0,1.0,100.0,5.0,4.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
12,What time period does the paper assign to the Agentic AI Era,temporal,1.0,0.9032867981913646,100.0,5.0,5.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
13,What publication date range did the review's inclusion crite,temporal,0.5,0.6309297535714575,100.0,5.0,3.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_16-12-36
