idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,1,1,100,5,5,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,1,1,100,5,5,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.666666667,0.653973767,66.66666667,5,5,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
3,What systematic review framework does the paper's methodolog,direct_fact,1,1,100,5,5,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
4,How many studies make up the final corpus of the survey?,numerical,1,0.830449257,100,5,5,3,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
5,How many records were identified through database searching ,numerical,0.25,0.346713202,50,5,5,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
6,How many records remained after duplicates were removed?,numerical,0.5,0.415777315,50,5,5,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
7,How many studies were excluded during title and abstract scr,numerical,1,0.940790782,100,5,3,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
8,How many articles were confirmed eligible after full-text as,numerical,0.722222222,0.68628012,100,5,5,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1,0.94345527,100,5,3,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
10,How many elements make up the tuple that formally defines a ,numerical,1,1,100,5,5,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
11,"In what year did the Transformer architecture emerge, accord",temporal,0.5,0.630929754,100,5,4,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
12,What time period does the paper assign to the Agentic AI Era,temporal,1,1,100,5,5,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
13,What publication date range did the review's inclusion crite,temporal,1,1,100,5,4,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
14,What five historical eras of AI does the paper's timeline ch,temporal,0.173333333,0.26685904,60,4,4,3,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
15,How does the paper distinguish an AI Agent from Agentic AI a,spanning,0.833333333,0.876976585,100,5,5,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
16,How do coordination mechanisms differ between the symbolic a,spanning,0.285714286,0.333333333,50,5,5,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
17,How does the paper connect the choice of architectural parad,spanning,0.65625,0.642137713,100,5,5,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
18,How does the paper contrast MDPs and POMDPs?,comparative,0.583333333,0.698902854,100,5,5,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
19,How does transparency and explainability differ between the ,comparative,0.5,0.630929754,100,5,5,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
20,How does the paper compare the flexibility and verifiability,comparative,0.25,0.432452716,100,5,4,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
21,What are the two cognitive architectures the paper identifie,direct_fact,1,0.81752959,100,5,5,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
22,"What primary mechanism does CrewAI use, and where is it appl",relationship,0.708333333,0.712390606,100,5,5,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
23,Which framework is associated with Retrieval-Augmented Gener,relationship,0.5,0.630929754,100,5,5,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
24,What real-world hybrid example does the paper give for robot,relationship,0.5,0.630929754,100,5,5,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
25,What company's product is given as the example of neural/orc,direct_fact,1,1,100,5,4,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
26,What system is cited as the example of the symbolic/determin,direct_fact,1,0.959860395,100,5,4,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
27,What two benchmarks does the paper mention for evaluating ag,direct_fact,0.5,0.630929754,100,5,4,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
28,What are the three levels of agency proposed in the paper's ,holistic,1,0.860257653,100,4,4,3,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
29,What is the central argument the paper makes about the futur,holistic,0.666666667,0.636951084,66.66666667,4,3,3,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
30,"What does the paper describe as the 'attribution gap,' and w",relationship,1,1,100,5,5,4,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
31,How do the paper's identified research gaps in Long-term Aut,comparative,0.333333333,0.420619836,66.66666667,5,5,5,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-12
