idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,1.0,1.0,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.6666666666666666,0.657204681987895,66.66666666666666,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
3,What systematic review framework does the paper's methodolog,direct_fact,1.0,1.0,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
4,How many studies make up the final corpus of the survey?,numerical,1.0,0.8535605768724704,100.0,5.0,4.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
5,How many records were identified through database searching ,numerical,0.5,0.45301271776734114,50.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
6,How many records remained after duplicates were removed?,numerical,0.5,0.41577731479181124,50.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
7,How many studies were excluded during title and abstract scr,numerical,1.0,0.9442612240020316,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
8,How many articles were confirmed eligible after full-text as,numerical,0.7142857142857143,0.6908832675611616,100.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1.0,0.9280992841700771,100.0,5.0,3.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
10,How many elements make up the tuple that formally defines a ,numerical,1.0,1.0,100.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
11,"In what year did the Transformer architecture emerge, accord",temporal,0.5,0.6309297535714575,100.0,5.0,3.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
12,What time period does the paper assign to the Agentic AI Era,temporal,1.0,1.0,100.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
13,What publication date range did the review's inclusion crite,temporal,0.5,0.6309297535714575,100.0,5.0,3.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
14,What five historical eras of AI does the paper's timeline ch,temporal,0.12023809523809523,0.22652221865716782,60.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
15,How does the paper distinguish an AI Agent from Agentic AI a,spanning,0.8333333333333334,0.8769765845238192,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
16,How do coordination mechanisms differ between the symbolic a,spanning,0.28125,0.3288662191964322,50.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
17,How does the paper connect the choice of architectural parad,spanning,1.0,0.8603669562192928,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
18,How does the paper contrast MDPs and POMDPs?,comparative,0.5833333333333334,0.6989028538870533,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
19,How does transparency and explainability differ between the ,comparative,0.5,0.6240505200038379,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
20,How does the paper compare the flexibility and verifiability,comparative,0.10416666666666666,0.26342989699452696,75.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=300",2026-07-11_21-00-12
