idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,1.0,1.0,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.6666666666666666,0.649890663111185,66.66666666666666,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
3,What systematic review framework does the paper's methodolog,direct_fact,1.0,1.0,100.0,5.0,4.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
4,How many studies make up the final corpus of the survey?,numerical,1.0,0.8534061385019438,100.0,5.0,3.0,3.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
5,How many records were identified through database searching ,numerical,0.25,0.31546487678572877,50.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
6,How many records remained after duplicates were removed?,numerical,0.5,0.5,50.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
7,How many studies were excluded during title and abstract scr,numerical,1.0,0.9087647951769723,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
8,How many articles were confirmed eligible after full-text as,numerical,0.6666666666666666,0.5843238849793789,66.66666666666666,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1.0,0.9711338641571848,100.0,5.0,4.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
10,How many elements make up the tuple that formally defines a ,numerical,1.0,1.0,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
11,"In what year did the Transformer architecture emerge, accord",temporal,1.0,1.0,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
12,What time period does the paper assign to the Agentic AI Era,temporal,0.6666666666666666,0.7098603945740938,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
13,What publication date range did the review's inclusion crite,temporal,0.3333333333333333,0.5,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
14,What five historical eras of AI does the paper's timeline ch,temporal,0.08666666666666667,0.1719413090546416,40.0,3.0,3.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
15,How does the paper distinguish an AI Agent from Agentic AI a,spanning,0.7777777777777778,0.8333333333333334,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
16,How do coordination mechanisms differ between the symbolic a,spanning,0.20833333333333331,0.28256031931339975,50.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
17,How does the paper connect the choice of architectural parad,spanning,0.3958333333333333,0.46342247848280393,75.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
18,How does the paper contrast MDPs and POMDPs?,comparative,0.611111111111111,0.7006194656037054,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
19,How does transparency and explainability differ between the ,comparative,0.16666666666666666,0.28711770538226206,66.66666666666666,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",2026-07-11_00-25-36
