idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,1.0,1.0,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.6666666666666666,0.6539737671822299,66.66666666666666,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
3,What systematic review framework does the paper's methodolog,direct_fact,1.0,1.0,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
4,How many studies make up the final corpus of the survey?,numerical,1.0,0.8304492572213458,100.0,5.0,5.0,3.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
5,How many records were identified through database searching ,numerical,0.25,0.3467132018086354,50.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
6,How many records remained after duplicates were removed?,numerical,0.5,0.41577731479181124,50.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
7,How many studies were excluded during title and abstract scr,numerical,1.0,0.9407907819466533,100.0,5.0,3.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
8,How many articles were confirmed eligible after full-text as,numerical,0.7222222222222222,0.6862801202306605,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1.0,0.9434552703993777,100.0,5.0,3.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
10,How many elements make up the tuple that formally defines a ,numerical,1.0,1.0,100.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
11,"In what year did the Transformer architecture emerge, accord",temporal,0.5,0.6309297535714575,100.0,5.0,4.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
12,What time period does the paper assign to the Agentic AI Era,temporal,1.0,1.0,100.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
13,What publication date range did the review's inclusion crite,temporal,1.0,1.0,100.0,5.0,4.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
14,What five historical eras of AI does the paper's timeline ch,temporal,0.17333333333333334,0.2668590398331183,60.0,4.0,4.0,3.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
15,How does the paper distinguish an AI Agent from Agentic AI a,spanning,0.8333333333333334,0.8769765845238192,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
16,How do coordination mechanisms differ between the symbolic a,spanning,0.2857142857142857,0.3333333333333333,50.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
17,How does the paper connect the choice of architectural parad,spanning,0.65625,0.6421377130631885,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
18,How does the paper contrast MDPs and POMDPs?,comparative,0.5833333333333334,0.6989028538870533,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
19,How does transparency and explainability differ between the ,comparative,0.5,0.6309297535714575,100.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
20,How does the paper compare the flexibility and verifiability,comparative,0.25,0.4324527158580038,100.0,5.0,4.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
21,What are the two cognitive architectures the paper identifie,direct_fact,1.0,0.8175295903539445,100.0,5.0,5.0,5.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
22,"What primary mechanism does CrewAI use, and where is it appl",relationship,0.7083333333333334,0.7123906055327694,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
23,Which framework is associated with Retrieval-Augmented Gener,relationship,0.5,0.6309297535714575,100.0,5.0,5.0,4.0,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",2026-07-11_17-41-01
